SAC8	Probablemente el partido prohibiera poner la bandera nacional en sus actos.	El partido prohibió poner la bandera nacional en sus actos.
SAC9	Probablemente el instituto arrestara a los criminales.	El instituto arrestó a los criminales.
SAC10	Quizás el sindicato de la empresa tuviera otra idea.	El sindicato de la empresa tenía otra idea.
SAC11	Tal vez el gobierno nacional conociera la corrupción existente.	El gobierno nacional conocía la corrupción existente.
SAC12	Seguramente la junta directiva del club cumpliera lo acordado.	La junta directiva del club cumplió lo acordado.
SAC13	Quizás la universidad madrileña denunciara los hechos.	La universidad madrileña denunció los hechos.
SAC14	Tal vez la empresa americana despidiera a buena parte de sus trabajadores.	La empresa americana despidió a buena parte de sus trabajadores.
SAC15	Seguramente la policía local desalojara la zona.	La policía local desalojó la zona.
SAC16	Posiblemente la academia de la lengua presentara a sus nuevos miembros.	La academia de la lengua presentó a sus nuevos miembros.
SAC17	Probablemente el partido nacionalista prohibiera poner la bandera nacional en sus actos.	El partido nacionalista prohibió poner la bandera nacional en sus actos.
SAC18	Probablemente el instituto armado arrestara a los criminales.	El instituto armado arrestó a los criminales.
SAC19	Quizás Comisiones Obreras tuviera otra idea.	Comisiones Obreras tenía otra idea.
SAC20	Tal vez el gobierno español conociera la corrupción existente.	El gobierno español conocía la corrupción existente.
SAC21	Seguramente la junta directiva del Real Madrid cumpliera lo acordado.	La junta directiva del Real Madrid cumplió lo acordado.
SAC22	Quizás la UCM denunciara los hechos.	La UCM denunció los hechos.
SAC23	Tal vez Coca Cola despidiera a buena parte de sus trabajadores.	Coca Cola despidió a buena parte de sus trabajadores.
SAC24	Seguramente la policía local de Madrid desalojara la zona.	La policía local de Madrid desalojó la zona.
SAC25	Posiblemente la RAE presentara a sus nuevos miembros.	La RAE presentó a sus nuevos miembros.
SAC26	Probablemente VOX prohibiera poner la bandera nacional en sus actos.	VOX prohibió poner la bandera nacional en sus actos.
SAC27	Probablemente la Guardia Civil arrestara a los criminales.	La Guardia Civil arrestó a los criminales.
